Close_AIR.PA,Close_BA,Close_LMT,Date,Volume_LMT,Volume_AIR.PA,Volume_BA
24.5,86.095201,82.019997,2012-01-03,2273600,1417588,6859300
24.565001,86.222802,80.910004,2012-01-04,2242700,1580817,4923000
24.889999,85.294799,80.07,2012-01-05,2616100,2412476,6797900
24.764999,85.816803,79.980003,2012-01-06,4274300,1561995,4779800
24.865,86.454799,80.040001,2012-01-09,1861500,1067315,4469600
25.030001,87.0,80.620003,2012-01-10,1846700,1199185,4622400
25.17,86.698398,80.779999,2012-01-11,1245900,1541233,3082700
25.035,87.591602,81.690002,2012-01-12,1822300,1402965,3934500
25.15,86.535998,81.519997,2012-01-13,1475600,2141930,4641100
25.790001,87.278398,81.639999,2012-01-17,1953700,1867802,3700100
25.865,87.069598,82.279999,2012-01-18,1155900,1835223,4189500
25.525,87.649598,83.709999,2012-01-19,1959400,2559988,5397300
25.65,87.603197,82.779999,2012-01-20,2461700,1947437,4552300
25.645,87.591602,82.540001,2012-01-23,1716700,1234162,4083700
25.969999,87.417601,82.239998,2012-01-24,1139000,1193026,4942700
25.809999,87.9512,81.730003,2012-01-25,2421500,1738042,14049100
25.445,87.359598,82.470001,2012-01-26,2733700,1823406,4187400
25.610001,86.478003,82.019997,2012-01-27,1952500,1837179,4754600
25.379999,86.025605,82.010002,2012-01-30,3109900,1557321,5043000
25.68,86.0488,82.32,2012-01-31,2878600,1957311,4777200
25.955,87.429203,83.519997,2012-02-01,2114100,1543984,4296400
25.959999,87.255201,83.169998,2012-02-02,1298800,1255122,3528100
27.540001,88.554395,84.589996,2012-02-03,3366800,2894178,3472400
27.23,87.533599,85.25,2012-02-06,2028300,1469732,4162500
26.955,87.231997,86.629997,2012-02-07,2871300,775466,4438700
26.455,87.533599,87.639999,2012-02-08,3394000,1477695,5350000
26.83,88.044002,88.010002,2012-02-09,2865000,1784527,4491100
26.75,86.941997,87.510002,2012-02-10,1928200,756600,3361700
27.049999,86.825998,88.230003,2012-02-13,2583400,774750,3456500
26.99,87.649598,88.449997,2012-02-14,1676700,749507,4652000
27.035,87.243599,86.93,2012-02-15,3474000,833145,4252400
26.889999,87.313197,86.400002,2012-02-16,2298500,1040933,4992800
27.120001,87.405998,87.989998,2012-02-17,2734000,1011000,4927300
27.0,87.835201,87.150002,2012-02-21,1738700,1119109,3978100
27.165001,88.229598,87.620003,2012-02-22,1241400,934879,3764800
27.295,87.985998,88.290001,2012-02-23,7431200,1112549,4187200
27.059999,88.229598,89.529999,2012-02-24,7279200,950634,3347000
27.165001,87.243599,89.410004,2012-02-27,2905000,667975,5379400
27.190001,87.185605,88.699997,2012-02-28,1866000,890411,3667400
27.264999,86.941997,88.410004,2012-02-29,2832200,1148823,4631800
28.049999,87.092802,88.370003,2012-03-01,1608300,1323632,3343100
27.65,86.884002,88.5,2012-03-02,1334200,1214152,2806600
27.469999,85.990797,88.68,2012-03-05,1458500,898614,4156800
26.450001,84.169598,87.779999,2012-03-06,1442200,1419276,5455700
26.844999,85.283197,87.959999,2012-03-07,1280500,1444173,4279000
29.74,86.037198,88.379997,2012-03-08,1159400,6425704,3881200
30.059999,85.016401,88.910004,2012-03-09,1177800,3404542,5535900
29.700001,85.375998,89.0,2012-03-12,1113600,2527761,2833500
30.25,86.199598,89.650002,2012-03-13,1626500,1978684,4532700
30.555,87.266803,90.419998,2012-03-14,2039300,2073541,5297100
30.815001,87.4988,90.300003,2012-03-15,1382000,1994916,4850700
31.1,87.231997,89.32,2012-03-16,2116300,3011455,7079200
30.325001,87.464002,89.559998,2012-03-19,900000,2372745,2683800
30.440001,87.162399,89.339996,2012-03-20,1355500,1390500,4384000
30.754999,87.011602,89.449997,2012-03-21,1289800,1225208,3644100
30.24,85.747198,89.400002,2012-03-22,1412400,1723545,4921400
30.459999,85.805201,89.769997,2012-03-23,1032600,1359640,2518400
30.855,87.2088,90.639999,2012-03-26,1340000,1102621,3715800
30.799999,86.779598,90.849998,2012-03-27,1119700,1444299,3510700
30.695,86.222802,89.690002,2012-03-28,1353700,1518241,3412200
30.325001,85.932802,89.629997,2012-03-29,1331500,2327566,3587600
30.705,86.269203,89.860001,2012-03-30,1275100,1848093,3203800
30.950001,87.197198,91.160004,2012-04-02,1678000,1960924,4104600
31.17,86.594002,91.07,2012-04-03,1257700,1903572,3485900
30.370001,85.457198,90.339996,2012-04-04,1632700,2309611,2490500
30.684999,85.364395,90.150002,2012-04-05,1808400,1929668,2640200
29.725,81.895998,87.669998,2012-04-10,1441100,2296381,5339000
30.035,83.253197,88.489998,2012-04-11,1386800,3365594,5099900
30.9,85.26,90.169998,2012-04-12,1467900,2590006,3938800
30.219999,84.587198,89.300003,2012-04-13,1481300,1765586,3329100
30.67,84.3088,89.57,2012-04-16,2807200,1530324,4800000
30.965,85.944395,90.599998,2012-04-17,1373200,1355322,3345300
30.639999,85.503599,90.370003,2012-04-18,946800,994504,2248900
